(100,350.000000)
(200,350.000000)
(300,350.000000)
(400,400.000000)
(500,450.000000)
(600,500.000000)
(700,550.000000)
(800,600.000000)
(900,650.000000)
(1000,700.000000)
(1100,750.000000)
(1200,800.000000)
(1300,850.000000)
(1400,900.000000)
(1500,950.000000)
(1600,1000.000000)
(1700,1050.000000)
(1800,1100.000000)
(1900,1150.000000)
(2000,1200.000000)
(2100,1250.000000)
(2200,1300.000000)
(2300,1350.000000)
(2400,1400.000000)
(2500,1450.000000)
(2600,1500.000000)
(2700,1550.000000)
(2800,1600.000000)
(2900,1650.000000)
(3000,1700.000000)
(3100,1750.000000)
(3200,1800.000000)
(3300,1850.000000)
(3400,1900.000000)
(3500,1950.000000)
(3600,2000.000000)
(3700,2050.000000)
(3800,2100.000000)
(3900,2150.000000)
(4000,2200.000000)
(4100,2250.000000)
(4200,2300.000000)
(4300,2350.000000)
(4400,2400.000000)
(4500,2450.000000)
(4600,2500.000000)
(4700,2550.000000)
(4800,2600.000000)
(4900,2650.000000)
(5000,2700.000000)
(5100,2750.000000)
(5200,2800.000000)
(5300,2850.000000)
(5400,2900.000000)
(5500,2950.000000)
(5600,3000.000000)
(5700,3050.000000)
(5800,3100.000000)
(5900,3150.000000)
(6000,3200.000000)
(6100,3250.000000)
(6200,3300.000000)
(6300,3350.000000)
(6400,3400.000000)
(6500,3450.000000)
(6600,3500.000000)
(6700,3550.000000)
(6800,3600.000000)
(6900,3650.000000)
(7000,3700.000000)
(7100,3750.000000)
(7200,3800.000000)
(7300,3850.000000)
(7400,3900.000000)
(7500,3950.000000)
(7600,4000.000000)
(7700,4050.000000)
(7800,4100.000000)
(7900,4150.000000)
(8000,4200.000000)
(8100,4250.000000)
(8200,4300.000000)
(8300,4350.000000)
(8400,4400.000000)
(8500,4450.000000)
(8600,4500.000000)
(8700,4550.000000)
(8800,4600.000000)
(8900,4650.000000)
(9000,4700.000000)
(9100,4750.000000)
(9200,4800.000000)
(9300,4850.000000)
(9400,4900.000000)
(9500,4950.000000)
(9600,5000.000000)
(9700,5050.000000)
(9800,5100.000000)
(9900,5150.000000)
(10000,5200.000000)
(10100,5250.000000)
(10200,5300.000000)
(10300,5350.000000)
(10400,5400.000000)
(10500,5450.000000)
(10600,5500.000000)
(10700,5550.000000)
(10800,5600.000000)
(10900,5650.000000)
(11000,5700.000000)
(11100,5750.000000)
(11200,5800.000000)
(11300,5850.000000)
(11400,5900.000000)
(11500,5950.000000)
(11600,6000.000000)
(11700,6050.000000)
(11800,6100.000000)
(11900,6150.000000)
(12000,6200.000000)
(12100,6250.000000)
(12200,6300.000000)
(12300,6350.000000)
(12400,6400.000000)
(12500,6450.000000)
(12600,6500.000000)
(12700,6550.000000)
(12800,6600.000000)
(12900,6650.000000)
(13000,6700.000000)
(13100,6750.000000)
(13200,6800.000000)
(13300,6850.000000)
(13400,6900.000000)
(13500,6950.000000)
(13600,7000.000000)
(13700,7050.000000)
(13800,7100.000000)
(13900,7150.000000)
(14000,7200.000000)
(14100,7250.000000)
(14200,7300.000000)
(14300,7350.000000)
(14400,7400.000000)
(14500,7450.000000)
(14600,7500.000000)
(14700,7550.000000)
(14800,7600.000000)
(14900,7650.000000)
(15000,7700.000000)
(15100,7750.000000)
(15200,7800.000000)
(15300,7850.000000)
(15400,7900.000000)
(15500,7950.000000)
(15600,8000.000000)
(15700,8050.000000)
(15800,8100.000000)
(15900,8150.000000)
(16000,8200.000000)
(16100,8250.000000)
(16200,8300.000000)
(16300,8350.000000)
(16400,8400.000000)
(16500,8450.000000)
(16600,8500.000000)
(16700,8550.000000)
(16800,8600.000000)
(16900,8650.000000)
(17000,8700.000000)
(17100,8750.000000)
(17200,8800.000000)
(17300,8850.000000)
(17400,8900.000000)
(17500,8950.000000)
(17600,9000.000000)
(17700,9050.000000)
(17800,9100.000000)
(17900,9150.000000)
(18000,9200.000000)
(18100,9250.000000)
(18200,9300.000000)
(18300,9350.000000)
(18400,9400.000000)
(18500,9450.000000)
(18600,9500.000000)
(18700,9550.000000)
(18800,9600.000000)
(18900,9650.000000)
(19000,9700.000000)
(19100,9750.000000)
(19200,9800.000000)
(19300,9850.000000)
(19400,9900.000000)
(19500,9950.000000)
(19600,10000.000000)
(19700,10050.000000)
(19800,10100.000000)
(19900,10150.000000)
(20000,10200.000000)
(20100,10250.000000)
(20200,10300.000000)
(20300,10350.000000)
(20400,10400.000000)
(20500,10450.000000)
(20600,10500.000000)
(20700,10550.000000)
(20800,10600.000000)
(20900,10650.000000)
(21000,10700.000000)
(21100,10750.000000)
(21200,10800.000000)
(21300,10850.000000)
(21400,10900.000000)
(21500,10950.000000)
(21600,11000.000000)
(21700,11050.000000)
(21800,11100.000000)
(21900,11150.000000)
(22000,11200.000000)
(22100,11250.000000)
(22200,11300.000000)
(22300,11350.000000)
(22400,11400.000000)
(22500,11450.000000)
(22600,11500.000000)
(22700,11550.000000)
(22800,11600.000000)
(22900,11650.000000)
(23000,11700.000000)
(23100,11750.000000)
(23200,11800.000000)
(23300,11850.000000)
(23400,11900.000000)
(23500,11950.000000)
(23600,12000.000000)
(23700,12050.000000)
(23800,12100.000000)
(23900,12150.000000)
(24000,12200.000000)
(24100,12250.000000)
(24200,12300.000000)
(24300,12350.000000)
(24400,12400.000000)
(24500,12450.000000)
(24600,12500.000000)
(24700,12550.000000)
(24800,12600.000000)
(24900,12650.000000)
(25000,12700.000000)
(25100,12750.000000)
(25200,12800.000000)
(25300,12850.000000)
(25400,12900.000000)
